City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
681,Kieta,PG,85.26,light rain,-6.2167,155.6333,Uruna Bay Retreat
682,Yulin,CN,81.79,light rain,22.6333,110.15,罗弟天海大厦
683,Houma,US,78.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
687,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
692,Katherine,AU,84.52,clear sky,-14.4667,132.2667,Pine Tree Motel
695,Bubaque,GW,78.6,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
700,Ambon,ID,78.94,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
701,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
702,Bani,DO,77.76,few clouds,18.2833,-70.3333,Hospedaje Henriquez
705,Murray Bridge,AU,76.12,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
708,Kon Tum,VN,81.14,light rain,14.35,108.0,Hoa đà spa- homestay
710,Ridgecrest,US,78.69,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
711,Kulhudhuffushi,MV,82.9,overcast clouds,6.6221,73.07,Haajy Guest House 1
713,Nizwa,OM,81.32,clear sky,22.9333,57.5333,Orient Apartments
715,Benjamin Hill,MX,82.17,clear sky,30.1667,-111.1,Hotel Benjamín Hill
