City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
51,Villa Bruzual,VE,2021-05-24 02:04:08,9.3328,-69.1208,80.87,73,100,1.54,overcast clouds
52,Kaitangata,NZ,2021-05-24 02:04:08,-46.2817,169.8464,47.93,74,100,4.21,overcast clouds
53,Yerbogachen,RU,2021-05-24 02:04:09,61.2767,108.0108,53.38,32,4,6.62,clear sky
54,Hilo,US,2021-05-24 02:04:09,19.7297,-155.09,85.28,80,75,9.22,light rain
55,Belmonte,BR,2021-05-24 02:04:09,-15.8631,-38.8828,75.7,91,12,9.69,few clouds
56,Torbay,CA,2021-05-24 02:04:10,47.6666,-52.7314,39.67,94,100,5.99,light rain
57,Hobart,AU,2021-05-24 02:04:10,-42.8794,147.3294,59.22,67,75,3.0,broken clouds
58,Yar-Sale,RU,2021-05-24 02:04:10,66.8333,70.8333,38.5,53,36,28.74,scattered clouds
59,Tuktoyaktuk,CA,2021-05-24 02:04:11,69.4541,-133.0374,33.64,89,14,8.28,few clouds
60,Pogradec,AL,2021-05-24 02:04:11,40.9025,20.6525,60.64,59,24,0.76,few clouds
61,Ellisras,ZA,2021-05-24 02:04:11,-23.6649,27.7443,49.46,85,0,2.42,clear sky
62,Tasiilaq,GL,2021-05-24 02:04:12,65.6145,-37.6368,32.16,95,100,17.47,light snow
63,Senanga,ZM,2021-05-24 02:04:12,-16.1167,23.2667,53.13,66,0,5.35,clear sky
64,Tual,ID,2021-05-24 02:04:12,-5.6667,132.75,78.58,91,100,27.65,moderate rain
65,Tongzi,CN,2021-05-24 02:04:13,28.7829,105.0877,62.58,89,100,2.35,overcast clouds
66,Biltine,TD,2021-05-24 02:04:13,14.5333,20.9167,81.82,14,46,9.04,scattered clouds
67,Khatanga,RU,2021-05-24 02:04:13,71.9667,102.5,39.56,96,100,3.89,overcast clouds
68,Lavrentiya,RU,2021-05-24 02:04:14,65.5833,-171.0,33.31,94,69,6.71,broken clouds
69,Kochi,IN,2021-05-24 02:04:14,9.9399,76.2602,78.78,80,98,4.81,overcast clouds
70,Tateyama,JP,2021-05-24 02:04:14,34.9833,139.8667,80.15,70,95,6.73,overcast clouds
71,Alugan,PH,2021-05-24 02:04:14,12.2188,125.4808,85.77,66,10,4.81,clear sky
72,Yining,CN,2021-05-24 02:04:15,29.0361,114.5636,75.25,71,69,1.19,broken clouds
73,Pacific Grove,US,2021-05-24 02:04:15,36.6177,-121.9166,68.61,81,40,3.0,scattered clouds
74,Beyneu,KZ,2021-05-24 02:04:15,45.3167,55.2,77.94,23,0,12.97,clear sky
75,Airai,TL,2021-05-24 02:04:16,-8.9266,125.4092,72.57,46,46,2.33,scattered clouds
76,Samarai,PG,2021-05-24 02:04:16,-10.6167,150.6667,81.21,66,96,15.66,overcast clouds
77,Sao Joao Da Barra,BR,2021-05-24 02:04:16,-21.6403,-41.0511,75.6,77,99,7.58,overcast clouds
78,Sistranda,NO,2021-05-24 02:04:16,63.7256,8.834,51.91,84,91,4.29,overcast clouds
79,Lagoa,PT,2021-05-24 02:04:17,39.05,-27.9833,60.15,65,100,6.76,overcast clouds
80,Salisbury,GB,2021-05-24 02:04:17,51.0693,-1.7957,47.48,95,52,8.41,broken clouds
81,Codrington,AU,2021-05-24 02:04:17,-38.2667,141.9667,65.79,49,92,17.69,overcast clouds
82,Bengkulu,ID,2021-05-24 02:04:18,-3.8004,102.2655,81.68,73,98,1.63,overcast clouds
83,Catamarca,AR,2021-05-24 02:03:50,-28.4696,-65.7852,52.77,73,53,1.99,broken clouds
84,Namibe,AO,2021-05-24 02:04:18,-15.1961,12.1522,73.98,71,8,6.29,clear sky
85,San Luis,AR,2021-05-24 02:04:19,-33.295,-66.3356,46.89,45,3,8.84,clear sky
86,Cape Town,ZA,2021-05-24 02:03:23,-33.9258,18.4232,68.09,43,100,8.75,overcast clouds
87,Narsaq,GL,2021-05-24 02:04:19,60.9167,-46.05,41.22,49,100,13.31,overcast clouds
88,Klaksvik,FO,2021-05-24 02:04:19,62.2266,-6.589,41.92,73,100,6.91,overcast clouds
89,Ust-Tsilma,RU,2021-05-24 02:04:19,65.441,52.1498,35.62,55,75,5.5,broken clouds
90,Westport,US,2021-05-24 02:04:13,41.1415,-73.3579,76.98,40,75,1.01,broken clouds
91,Jalu,LY,2021-05-24 02:04:20,29.0331,21.5482,72.45,16,0,8.55,clear sky
92,Padang,ID,2021-05-24 02:03:01,-0.9492,100.3543,82.45,72,29,1.05,scattered clouds
93,Tiksi,RU,2021-05-24 02:04:20,71.6872,128.8694,36.05,81,91,11.7,overcast clouds
94,Cockburn Town,TC,2021-05-24 02:04:20,21.4612,-71.1419,77.99,77,33,21.23,scattered clouds
95,Lensk,RU,2021-05-24 02:04:21,60.7253,114.9278,54.95,28,100,6.22,overcast clouds
96,Marzuq,YE,2021-05-24 02:04:21,14.4,46.4667,75.72,15,11,5.88,few clouds
97,Pingliang,CN,2021-05-24 02:04:21,35.5392,106.6861,68.41,26,0,8.25,clear sky
98,Gizo,SB,2021-05-24 02:04:22,-8.103,156.8419,81.95,83,100,17.98,moderate rain
99,Mogadishu,SO,2021-05-24 02:01:13,2.0371,45.3438,78.55,81,20,18.41,few clouds
100,Bambous Virieux,MU,2021-05-24 02:04:22,-20.3428,57.7575,71.85,78,20,13.35,few clouds
101,Nikolskoye,RU,2021-05-24 02:04:22,59.7035,30.7861,50.4,95,100,12.73,moderate rain
102,Santa Isabel Do Rio Negro,BR,2021-05-24 02:04:23,-0.4139,-65.0192,75.02,96,31,2.82,scattered clouds
103,Nouadhibou,MR,2021-05-24 02:04:23,20.931,-17.0347,67.98,77,0,19.57,clear sky
104,Longyearbyen,SJ,2021-05-24 02:04:23,78.2186,15.6401,26.44,74,20,9.22,few clouds
105,Kapaa,US,2021-05-24 02:04:24,22.0752,-159.319,82.38,71,75,1.99,broken clouds
106,Pundaguitan,PH,2021-05-24 02:04:24,6.3711,126.1689,83.16,73,62,5.14,broken clouds
107,Flin Flon,CA,2021-05-24 02:00:14,54.7682,-101.865,58.15,60,59,4.45,broken clouds
108,Plettenberg Bay,ZA,2021-05-24 02:04:24,-34.0527,23.3716,63.25,39,10,10.04,clear sky
109,Zaranj,AF,2021-05-24 02:04:25,30.9667,61.8833,84.54,11,92,3.15,overcast clouds
110,Mandurah,AU,2021-05-24 02:04:25,-32.55,115.7,53.17,64,97,21.83,overcast clouds
111,New Norfolk,AU,2021-05-24 02:04:25,-42.7826,147.0587,58.87,45,100,3.83,overcast clouds
112,Dengzhou,CN,2021-05-24 02:04:26,37.8086,120.7508,65.1,59,16,9.89,few clouds
113,Liepaja,LV,2021-05-24 02:04:26,56.5419,21.0367,50.05,87,90,16.11,overcast clouds
114,Vostok,RU,2021-05-24 02:04:26,46.4856,135.8833,55.04,88,100,3.36,moderate rain
115,Sao Filipe,CV,2021-05-24 02:04:27,14.8961,-24.4956,71.91,83,11,7.9,few clouds
116,Gourcy,BF,2021-05-24 02:04:27,13.2167,-2.35,88.99,39,81,8.23,broken clouds
117,Atuona,PF,2021-05-24 02:04:27,-9.8,-139.0333,80.55,75,22,19.95,few clouds
118,Upata,VE,2021-05-24 02:04:28,8.0086,-62.3989,74.64,87,84,5.91,broken clouds
119,Jawhar,SO,2021-05-24 02:01:19,2.7809,45.5005,74.21,86,23,10.29,few clouds
120,Belyy Yar,RU,2021-05-24 02:04:28,53.6039,91.3903,58.89,76,40,12.01,light rain
121,Bara,NG,2021-05-24 02:04:29,10.3744,10.7288,81.84,60,64,6.4,broken clouds
122,Emerald,AU,2021-05-24 02:04:29,-23.5333,148.1667,76.33,37,0,11.03,clear sky
123,Stratford,US,2021-05-24 02:04:29,41.1845,-73.1332,75.42,63,75,12.66,broken clouds
124,Alekseyevka,RU,2021-05-24 02:04:30,50.6309,38.6903,52.59,90,55,5.17,broken clouds
125,Provideniya,RU,2021-05-24 02:04:30,64.3833,-173.3,35.71,75,90,20.13,overcast clouds
126,Pitkyaranta,RU,2021-05-24 02:04:30,61.5734,31.4792,45.34,99,100,4.9,light rain
127,Fuling,CN,2021-05-24 02:04:31,29.7022,107.3919,63.46,96,100,2.04,overcast clouds
128,Nome,US,2021-05-24 02:04:31,64.5011,-165.4064,51.17,81,1,4.61,clear sky
129,Lebu,CL,2021-05-24 02:04:31,-37.6167,-73.65,53.8,81,91,2.17,overcast clouds
130,Chengde,CN,2021-05-24 02:04:31,40.9725,117.9361,65.43,12,2,13.89,clear sky
